Customer_ID,Customer_Name,Region,City,Segment
C10001,Malhotra Traders,South,Kochi,Retail
C10002,Reddy Traders,South,Hyderabad,Online
C10003,Das Mart,East,Kolkata,Retail
C10004,Kapoor Emporium,West,Surat,Retail
C10005,Bose Enterprises,South,Kochi,Online
C10006,Mehta Emporium,West,Mumbai,Corporate
C10007,Chopra Shop,West,Mumbai,Retail
C10008,Shah Store,North,Delhi,Retail
C10009,Gupta Distributors,Central,Raipur,Retail
C10010,Sharma Store,North,Lucknow,Online
C10011,Patel Store,West,Ahmedabad,Wholesale
C10012,Rao Mart,East,Patna,Online
C10013,Pillai Store,West,Pune,Wholesale
C10014,Iyer Distributors,West,Ahmedabad,Wholesale
C10015,Kumar Distributors,West,Mumbai,Corporate
C10016,Kapoor Distributors,West,Ahmedabad,Retail
C10017,Nair Retail,Central,Nagpur,Retail
C10018,Shah Emporium,West,Surat,Corporate
C10019,Sharma Emporium,Central,Nagpur,Retail
C10020,Singh Emporium,East,Kolkata,Retail
C10021,Reddy Distributors,South,Chennai,Retail
C10022,Chopra Mart,South,Chennai,Online
C10023,Shah Retail,West,Ahmedabad,Corporate
C10024,Das Enterprises,East,Guwahati,Wholesale
C10025,Reddy Store,North,Lucknow,Corporate
C10026,Shah Emporium,South,Chennai,Retail
C10027,Kapoor Shop,Central,Indore,Wholesale
C10028,Nair Shop,West,Ahmedabad,Wholesale
C10029,Shah Traders,West,Mumbai,Retail
C10030,Das Store,North,Delhi,Wholesale
C10031,Chopra Store,North,Delhi,Wholesale
C10032,Malhotra Emporium,South,Bengaluru,Online
C10033,Das Distributors,Central,Raipur,Online
C10034,Pillai Emporium,East,Patna,Retail
C10035,Das Shop,West,Pune,Retail
C10036,Rahul Traders,East,Patna,Corporate
C10037,Reddy Mart,East,Patna,Online
C10038,Rao Emporium,West,Ahmedabad,Retail
C10039,Sharma Mart,Central,Nagpur,Wholesale
C10040,Kapoor Retail,East,Bhubaneswar,Online
C10041,Reddy Enterprises,East,Guwahati,Retail
C10042,Nair Retail,Central,Raipur,Retail
C10043,Kapoor Shop,South,Chennai,Wholesale
C10044,Kapoor Store,Central,Raipur,Retail
C10045,Das Enterprises,East,Kolkata,Corporate
C10046,Nair Shop,Central,Nagpur,Retail
C10047,Das Mart,East,Patna,Online
C10048,Bose Distributors,West,Mumbai,Online
C10049,Iyer Shop,South,Chennai,Retail
C10050,Reddy Traders,West,Surat,Retail
